"Stimulus","Model","Vertex_Nb","Texture_Size","Graphic_lpips","Pseudo_MOS"
"screenshot_cake_4 (1)_512","cake",4,"512",1,1
"screenshot_cake_4 (2)_1024","cake",4,"1024",1,1
"screenshot_cake_4 (3)_2048","cake",4,"2048",1,1
"screenshot_cake_4_256","cake",4,"256",1,1
"screenshot_cake_6 (1)_512","cake",6,"512",1,1
"screenshot_cake_6 (2)_1024","cake",6,"1024",1,1
"screenshot_cake_6 (3)_2048","cake",6,"2048",1,1
"screenshot_cake_6_256","cake",6,"256",1,1
"screenshot_cake_8 (1)_512","cake",8,"512",1,1
"screenshot_cake_8 (2)_1024","cake",8,"1024",1,1
"screenshot_cake_8 (3)_2048","cake",8,"2048",1,1
"screenshot_cake_8_256","cake",8,"256",1,1
"screenshot_cake_10 (1)_512","cake",10,"512",1,1
"screenshot_cake_10 (2)_1024","cake",10,"1024",1,1
"screenshot_cake_10 (3)_2048","cake",10,"2048",1,1
"screenshot_cake_10_256","cake",10,"256",1,1
"screenshot_cake_12 (1)_512","cake",12,"512",1,1
"screenshot_cake_12 (2)_1024","cake",12,"1024",1,1
"screenshot_cake_12 (3)_2048","cake",12,"2048",1,1
"screenshot_cake_12_256","cake",12,"256",1,1
"screenshot_cake_16 (1)_512","cake",16,"512",1,1
"screenshot_cake_16 (2)_1024","cake",16,"1024",1,1
"screenshot_cake_16 (3)_2048","cake",16,"2048",1,1
"screenshot_cake_16_256","cake",16,"256",1,1
"screenshot_cake_20 (1)_512","cake",20,"512",1,1
"screenshot_cake_20 (2)_1024","cake",20,"1024",1,1
"screenshot_cake_20 (3)_2048","cake",20,"2048",1,1
"screenshot_cake_20_256","cake",20,"256",1,1
"screenshot_cake_24 (1)_512","cake",24,"512",1,1
"screenshot_cake_24 (2)_1024","cake",24,"1024",0.996214946236559,1.01514021505376
"screenshot_cake_24 (3)_2048","cake",24,"2048",0.994506311827957,1.02197475268817
"screenshot_cake_24_256","cake",24,"256",1,1
"screenshot_cake_30 (1)_512","cake",30,"512",1,1
"screenshot_cake_30 (2)_1024","cake",30,"1024",0.996214946236559,1.01514021505376
"screenshot_cake_30 (3)_2048","cake",30,"2048",0.994478129032258,1.02208748387097
"screenshot_cake_30_256","cake",30,"256",1,1
"screenshot_cake_36 (1)_512","cake",36,"512",0.999617913978495,1.00152834408602
"screenshot_cake_36 (2)_1024","cake",36,"1024",0.995730688172043,1.01707724731183
"screenshot_cake_36 (3)_2048","cake",36,"2048",0.993711107526882,1.02515556989247
"screenshot_cake_36_256","cake",36,"256",0.999376032258064,1.00249587096774
"screenshot_cake_44 (1)_512","cake",44,"512",0.999736430107527,1.00105427956989
"screenshot_cake_44 (2)_1024","cake",44,"1024",0.998112483870968,1.00755006451613
"screenshot_cake_44 (3)_2048","cake",44,"2048",0.997584698924731,1.00966120430108
"screenshot_cake_44_256","cake",44,"256",0.999464827956989,1.00214068817204
"screenshot_cake_54 (1)_512","cake",54,"512",0.99753688172043,1.00985247311828
"screenshot_cake_54 (2)_1024","cake",54,"1024",0.986218129032258,1.05512748387097
"screenshot_cake_54 (3)_2048","cake",54,"2048",0.984431086021505,1.06227565591398
"screenshot_cake_54_256","cake",54,"256",1,1
"screenshot_cake_66 (1)_512","cake",66,"512",0.997187387096774,1.0112504516129
"screenshot_cake_66 (2)_1024","cake",66,"1024",0.983763376344086,1.06494649462366
"screenshot_cake_66 (3)_2048","cake",66,"2048",0.980171172043011,1.07931531182796
"screenshot_cake_66_256","cake",66,"256",1,1
"screenshot_cake_80 (1)_512","cake",80,"512",0.996301612903226,1.0147935483871
"screenshot_cake_80 (2)_1024","cake",80,"1024",0.982274935483871,1.07090025806452
"screenshot_cake_80 (3)_2048","cake",80,"2048",0.978381892473118,1.08647243010753
"screenshot_cake_80_256","cake",80,"256",1,1
"screenshot_cake_96 (1)_512","cake",96,"512",0.997915053763441,1.00833978494624
"screenshot_cake_96 (2)_1024","cake",96,"1024",0.985037086021505,1.05985165591398
"screenshot_cake_96 (3)_2048","cake",96,"2048",0.980776483870968,1.07689406451613
"screenshot_cake_96_256","cake",96,"256",1,1
"screenshot_cake_116 (1)_512","cake",116,"512",0.997841838709677,1.00863264516129
"screenshot_cake_116 (2)_1024","cake",116,"1024",0.982447516129032,1.07020993548387
"screenshot_cake_116 (3)_2048","cake",116,"2048",0.977163182795699,1.0913472688172
"screenshot_cake_116_256","cake",116,"256",1,1
"screenshot_cake_140 (1)_512","cake",140,"512",0.985367139784946,1.05853144086021
"screenshot_cake_140 (2)_1024","cake",140,"1024",0.967273989247312,1.13090404301075
"screenshot_cake_140 (3)_2048","cake",140,"2048",0.963278795698925,1.1468848172043
"screenshot_cake_140_256","cake",140,"256",0.989059075268817,1.04376369892473
"screenshot_cake_170 (1)_512","cake",170,"512",0.969575924731183,1.12169630107527
"screenshot_cake_170 (2)_1024","cake",170,"1024",0.933388591397849,1.2664456344086
"screenshot_cake_170 (3)_2048","cake",170,"2048",0.923160172043011,1.30735931182796
"screenshot_cake_170_256","cake",170,"256",0.989396892473118,1.04241243010753
"screenshot_cake_206 (1)_512","cake",206,"512",0.95649047311828,1.17403810752688
"screenshot_cake_206 (2)_1024","cake",206,"1024",0.914768419354839,1.34092632258065
"screenshot_cake_206 (3)_2048","cake",206,"2048",0.903744225806452,1.38502309677419
"screenshot_cake_206_256","cake",206,"256",0.981625064516129,1.07349974193548
"screenshot_cake_248 (1)_512","cake",248,"512",0.944088258064516,1.22364696774194
"screenshot_cake_248 (2)_1024","cake",248,"1024",0.891307193548387,1.43477122580645
"screenshot_cake_248 (3)_2048","cake",248,"2048",0.879515569892473,1.48193772043011
"screenshot_cake_248_256","cake",248,"256",0.978585817204301,1.0856567311828
"screenshot_cake_298 (1)_512","cake",298,"512",0.929121279569892,1.28351488172043
"screenshot_cake_298 (2)_1024","cake",298,"1024",0.863657935483871,1.54536825806452
"screenshot_cake_298 (3)_2048","cake",298,"2048",0.851668559139785,1.59332576344086
"screenshot_cake_298_256","cake",298,"256",0.970170376344086,1.11931849462366
