Stimulus;Model;Vertex_Nb;Texture_Size;Graphic_lpips;Pseudo_MOS
screenshot_cinnamon_616_256;cinnamon;616;256;0.885007444444444;1.45997022222222
screenshot_cinnamon_616 (1)_512;cinnamon;616;512;0.858135277777778;1.56745888888889
screenshot_cinnamon_616 (3)_2048;cinnamon;616;2048;0.855654166666667;1.57738333333333
screenshot_cinnamon_616 (2)_1024;cinnamon;616;1024;0.855626277777778;1.57749488888889
screenshot_cinnamon_708_256;cinnamon;708;256;0.7889895;1.844042
screenshot_cinnamon_708 (2)_1024;cinnamon;708;1024;0.752071333333333;1.99171466666667
screenshot_cinnamon_708 (3)_2048;cinnamon;708;2048;0.750659055555556;1.99736377777778
screenshot_cinnamon_708 (1)_512;cinnamon;708;512;0.7400545;2.039782
screenshot_cinnamon_850_256;cinnamon;850;256;0.589196777777778;2.64321288888889
screenshot_cinnamon_1020_256;cinnamon;1020;256;0.540469166666667;2.83812333333333
screenshot_cinnamon_850 (1)_512;cinnamon;850;512;0.501061222222222;2.99575511111111
screenshot_cinnamon_850 (2)_1024;cinnamon;850;1024;0.500253111111111;2.99898755555556
screenshot_cinnamon_1224_256;cinnamon;1224;256;0.498884055555556;3.00446377777778
screenshot_cinnamon_850 (3)_2048;cinnamon;850;2048;0.490053222222222;3.03978711111111
screenshot_cinnamon_1470_256;cinnamon;1470;256;0.473860388888889;3.10455844444444
screenshot_cinnamon_1764_256;cinnamon;1764;256;0.466320055555556;3.13471977777778
screenshot_cinnamon_2118_256;cinnamon;2118;256;0.460404833333333;3.15838066666667
screenshot_cinnamon_2542_256;cinnamon;2542;256;0.433505333333333;3.26597866666667
screenshot_cinnamon_3664_256;cinnamon;3664;256;0.411804444444444;3.35278222222222
screenshot_cinnamon_3052_256;cinnamon;3052;256;0.408924777777778;3.36430088888889
screenshot_cinnamon_67820_256;cinnamon;67820;256;0.400797222222222;3.39681111111111
screenshot_cinnamon_4398_256;cinnamon;4398;256;0.3990265;3.403894
screenshot_cinnamon_97664_256;cinnamon;97664;256;0.398866833333333;3.40453266666667
screenshot_cinnamon_1020 (1)_512;cinnamon;1020;512;0.398777;3.404892
screenshot_cinnamon_81386_256;cinnamon;81386;256;0.398742055555556;3.40503177777778
screenshot_cinnamon_117198_256;cinnamon;117198;256;0.397152222222222;3.41139111111111
screenshot_cinnamon_140638_256;cinnamon;140638;256;0.396226944444444;3.41509222222222
screenshot_cinnamon_47096_256;cinnamon;47096;256;0.395326388888889;3.41869444444444
screenshot_cinnamon_168766_256;cinnamon;168766;256;0.395146166666667;3.41941533333333
screenshot_cinnamon_243024_256;cinnamon;243024;256;0.394791277777778;3.42083488888889
screenshot_cinnamon_202520_256;cinnamon;202520;256;0.394775833333333;3.42089666666667
screenshot_cinnamon_39246_256;cinnamon;39246;256;0.393915333333333;3.42433866666667
screenshot_cinnamon_1020 (2)_1024;cinnamon;1020;1024;0.392972611111111;3.42810955555556
screenshot_cinnamon_56516_256;cinnamon;56516;256;0.392722111111111;3.42911155555556
screenshot_cinnamon_32704_256;cinnamon;32704;256;0.389177277777778;3.44329088888889
screenshot_cinnamon_5278_256;cinnamon;5278;256;0.386603444444444;3.45358622222222
screenshot_cinnamon_6334_256;cinnamon;6334;256;0.384539444444444;3.46184222222222
screenshot_cinnamon_27252_256;cinnamon;27252;256;0.383877777777778;3.46448888888889
screenshot_cinnamon_22710_256;cinnamon;22710;256;0.381188944444444;3.47524422222222
screenshot_cinnamon_9124_256;cinnamon;9124;256;0.379524666666667;3.48190133333333
screenshot_cinnamon_13140_256;cinnamon;13140;256;0.378639055555556;3.48544377777778
screenshot_cinnamon_1020 (3)_2048;cinnamon;1020;2048;0.378275777777778;3.48689688888889
screenshot_cinnamon_18924_256;cinnamon;18924;256;0.378140611111111;3.48743755555556
screenshot_cinnamon_10950_256;cinnamon;10950;256;0.375804666666667;3.49678133333333
