Stimulus;Model;Vertex_Nb;Texture_Size;Graphic_lpips;Pseudo_MOS
screenshot_eclaire_92 (1)_512;eclaire;92;512;1;1
screenshot_eclaire_92 (2)_1024;eclaire;92;1024;1;1
screenshot_eclaire_92 (3)_2048;eclaire;92;2048;1;1
screenshot_eclaire_92_256;eclaire;92;256;1;1
screenshot_eclaire_94 (1)_512;eclaire;94;512;1;1
screenshot_eclaire_94 (2)_1024;eclaire;94;1024;1;1
screenshot_eclaire_94 (3)_2048;eclaire;94;2048;1;1
screenshot_eclaire_94_256;eclaire;94;256;1;1
screenshot_eclaire_114_256;eclaire;114;256;0.984273090909091;1.06290763636364
screenshot_eclaire_138_256;eclaire;138;256;0.967639272727273;1.12944290909091
screenshot_eclaire_166_256;eclaire;166;256;0.941573666666667;1.23370533333333
screenshot_eclaire_114 (1)_512;eclaire;114;512;0.929298212121212;1.28280715151515
screenshot_eclaire_114 (3)_2048;eclaire;114;2048;0.919409121212121;1.32236351515151
screenshot_eclaire_138 (1)_512;eclaire;138;512;0.914228575757576;1.3430856969697
screenshot_eclaire_114 (2)_1024;eclaire;114;1024;0.913681454545455;1.34527418181818
screenshot_eclaire_200_256;eclaire;200;256;0.902619787878788;1.38952084848485
screenshot_eclaire_138 (2)_1024;eclaire;138;1024;0.885563515151515;1.45774593939394
screenshot_eclaire_138 (3)_2048;eclaire;138;2048;0.883152818181818;1.46738872727273
screenshot_eclaire_240_256;eclaire;240;256;0.844947636363636;1.62020945454545
screenshot_eclaire_166 (1)_512;eclaire;166;512;0.838531242424242;1.64587503030303
screenshot_eclaire_166 (2)_1024;eclaire;166;1024;0.806088696969697;1.77564521212121
screenshot_eclaire_166 (3)_2048;eclaire;166;2048;0.805617727272727;1.77752909090909
screenshot_eclaire_290_256;eclaire;290;256;0.780633212121212;1.87746715151515
screenshot_eclaire_200 (1)_512;eclaire;200;512;0.774219696969697;1.90312121212121
screenshot_eclaire_350_256;eclaire;350;256;0.754316545454545;1.98273381818182
screenshot_eclaire_200 (3)_2048;eclaire;200;2048;0.739881666666667;2.04047333333333
screenshot_eclaire_200 (2)_1024;eclaire;200;1024;0.736520575757576;2.0539176969697
screenshot_eclaire_240 (1)_512;eclaire;240;512;0.701811727272727;2.19275309090909
screenshot_eclaire_420_256;eclaire;420;256;0.676119636363636;2.29552145454545
screenshot_eclaire_240 (3)_2048;eclaire;240;2048;0.658554060606061;2.36578375757576
screenshot_eclaire_240 (2)_1024;eclaire;240;1024;0.654365878787879;2.38253648484848
screenshot_eclaire_504_256;eclaire;504;256;0.648099939393939;2.40760024242424
screenshot_eclaire_606_256;eclaire;606;256;0.624479363636364;2.50208254545455
screenshot_eclaire_290 (1)_512;eclaire;290;512;0.609700363636364;2.56119854545455
screenshot_eclaire_728_256;eclaire;728;256;0.573330606060606;2.70667757575758
screenshot_eclaire_350 (1)_512;eclaire;350;512;0.566688727272727;2.73324509090909
screenshot_eclaire_290 (3)_2048;eclaire;290;2048;0.563109545454546;2.74756181818182
screenshot_eclaire_290 (2)_1024;eclaire;290;1024;0.560679545454545;2.75728181818182
screenshot_eclaire_874_256;eclaire;874;256;0.560473818181818;2.75810472727273
screenshot_eclaire_1050_256;eclaire;1050;256;0.541141363636364;2.83543454545455
screenshot_eclaire_1262_256;eclaire;1262;256;0.528067848484848;2.88772860606061
screenshot_eclaire_1516_256;eclaire;1516;256;0.515691151515152;2.93723539393939
