"Stimulus","Model","Vertex_Nb","Texture_Size","Graphic_lpips","Pseudo_MOS"
"screenshot_muffin_10 (1)_256","muffin",10,"256",1,1
"screenshot_muffin_10 (2)_512","muffin",10,"512",1,1
"screenshot_muffin_10 (3)_1024","muffin",10,"1024",1,1
"screenshot_muffin_12 (1)_256","muffin",12,"256",1,1
"screenshot_muffin_12 (2)_512","muffin",12,"512",1,1
"screenshot_muffin_12 (3)_1024","muffin",12,"1024",1,1
"screenshot_muffin_16 (1)_256","muffin",16,"256",0.99086956,1.03652176
"screenshot_muffin_16 (2)_512","muffin",16,"512",0.99103228,1.03587088
"screenshot_muffin_16 (3)_2048","muffin",16,"2048",0.99071388,1.03714448
"screenshot_muffin_20 (1)_256","muffin",20,"256",0.99081856,1.03672576
"screenshot_muffin_20 (2)_512","muffin",20,"512",0.98903536,1.04385856
"screenshot_muffin_20 (3)_2048","muffin",20,"2048",0.98857996,1.04568016
"screenshot_muffin_26 (1)_256","muffin",26,"256",0.98450652,1.06197392
"screenshot_muffin_26 (2)_512","muffin",26,"512",0.97604584,1.09581664
"screenshot_muffin_26 (3)_2048","muffin",26,"2048",0.97557652,1.09769392
"screenshot_muffin_32 (1)_256","muffin",32,"256",0.98032776,1.07868896
"screenshot_muffin_32 (2)_1024","muffin",32,"1024",0.971885,1.11246
"screenshot_muffin_32 (3)_2048","muffin",32,"2048",0.97161428,1.11354288
"screenshot_muffin_40 (1)_256","muffin",40,"256",0.97508404,1.09966384
"screenshot_muffin_40 (2)_1024","muffin",40,"1024",0.96815456,1.12738176
"screenshot_muffin_40 (3)_2048","muffin",40,"2048",0.96641204,1.13435184
"screenshot_muffin_50 (1)_512","muffin",50,"512",0.93835188,1.24659248
"screenshot_muffin_50 (2)_1024","muffin",50,"1024",0.92912432,1.28350272
"screenshot_muffin_50 (3)_2048","muffin",50,"2048",0.92840524,1.28637904
"screenshot_muffin_60 (1)_512","muffin",60,"512",0.88219944,1.47120224
"screenshot_muffin_60 (2)_1024","muffin",60,"1024",0.8718386,1.5126456
"screenshot_muffin_60 (3)_2048","muffin",60,"2048",0.8703168,1.5187328
"screenshot_muffin_74 (1)_512","muffin",74,"512",0.8306994,1.6772024
"screenshot_muffin_74 (2)_1024","muffin",74,"1024",0.81478004,1.74087984
"screenshot_muffin_74 (3)_2048","muffin",74,"2048",0.81310892,1.74756432
"screenshot_muffin_90 (1)_512","muffin",90,"512",0.76000076,1.95999696
"screenshot_muffin_90 (2)_1024","muffin",90,"1024",0.75870404,1.96518384
"screenshot_muffin_90 (3)_2048","muffin",90,"2048",0.7610468,1.9558128
"screenshot_muffin_90_256","muffin",90,"256",0.85978696,1.56085216
"screenshot_muffin_110 (1)_512","muffin",110,"512",0.73497272,2.06010912
"screenshot_muffin_110 (2)_1024","muffin",110,"1024",0.73465412,2.06138352
"screenshot_muffin_110 (3)_2048","muffin",110,"2048",0.7346412,2.0614352
"screenshot_muffin_110_256","muffin",110,"256",0.8432992,1.6268032
"screenshot_muffin_134 (1)_512","muffin",134,"512",0.65279108,2.38883568
"screenshot_muffin_134 (2)_1024","muffin",134,"1024",0.64592804,2.41628784
"screenshot_muffin_134 (3)_2048","muffin",134,"2048",0.64780252,2.40878992
"screenshot_muffin_134_256","muffin",134,"256",0.76798008,1.92807968
"screenshot_muffin_162 (1)_512","muffin",162,"512",0.61912876,2.52348496
"screenshot_muffin_162 (2)_1024","muffin",162,"1024",0.61470028,2.54119888
"screenshot_muffin_162 (3)_2048","muffin",162,"2048",0.61530512,2.53877952
"screenshot_muffin_162_256","muffin",162,"256",0.73389992,2.06440032
"screenshot_muffin_196 (1)_512","muffin",196,"512",0.60266392,2.58934432
"screenshot_muffin_196 (2)_1024","muffin",196,"1024",0.58796576,2.64813696
"screenshot_muffin_196 (3)_2048","muffin",196,"2048",0.58587356,2.65650576
"screenshot_muffin_196_256","muffin",196,"256",0.72460904,2.10156384
"screenshot_muffin_236 (1)_512","muffin",236,"512",0.53943464,2.84226144
"screenshot_muffin_236 (2)_1024","muffin",236,"1024",0.52839088,2.88643648
"screenshot_muffin_236 (3)_2048","muffin",236,"2048",0.52489684,2.90041264
"screenshot_muffin_236_256","muffin",236,"256",0.68114316,2.27542736
"screenshot_muffin_284 (1)_512","muffin",284,"512",0.484593,3.061628
"screenshot_muffin_284 (2)_1024","muffin",284,"1024",0.46940976,3.12236096
"screenshot_muffin_284 (3)_2048","muffin",284,"2048",0.4666428,3.1334288
"screenshot_muffin_284_256","muffin",284,"256",0.62641364,2.49434544
"screenshot_muffin_342 (1)_512","muffin",342,"512",0.48723072,3.05107712
"screenshot_muffin_342 (2)_1024","muffin",342,"1024",0.46805556,3.12777776
"screenshot_muffin_342 (3)_2048","muffin",342,"2048",0.46522084,3.13911664
"screenshot_muffin_342_256","muffin",342,"256",0.62949976,2.48200096
"screenshot_muffin_412 (1)_512","muffin",412,"512",0.44818328,3.20726688
"screenshot_muffin_412 (2)_1024","muffin",412,"1024",0.4300038,3.2799848
"screenshot_muffin_412 (3)_2048","muffin",412,"2048",0.42786788,3.28852848
"screenshot_muffin_412_256","muffin",412,"256",0.59542512,2.61829952
"screenshot_muffin_496 (1)_512","muffin",496,"512",0.41987808,3.32048768
"screenshot_muffin_496 (2)_1024","muffin",496,"1024",0.4066254,3.3734984
"screenshot_muffin_496 (3)_2048","muffin",496,"2048",0.40389304,3.38442784
"screenshot_muffin_496_256","muffin",496,"256",0.56648748,2.73405008
"screenshot_muffin_596 (1)_512","muffin",596,"512",0.40252048,3.38991808
"screenshot_muffin_596 (2)_1024","muffin",596,"1024",0.39135776,3.43456896
"screenshot_muffin_596 (3)_2048","muffin",596,"2048",0.38825744,3.44697024
"screenshot_muffin_596_256","muffin",596,"256",0.55520896,2.77916416
"screenshot_muffin_716 (1)_512","muffin",716,"512",0.34935564,3.60257744
"screenshot_muffin_716 (2)_1024","muffin",716,"1024",0.33316264,3.66734944
"screenshot_muffin_716 (3)_2048","muffin",716,"2048",0.33033704,3.67865184
