"Stimulus","Model","Vertex_Nb","Texture_Size","Graphic_lpips","Pseudo_MOS"
"screenshot_pizza_862 (1)_512","pizza",862,"512",1,1
"screenshot_pizza_862 (2)_1024","pizza",862,"1024",1,1
"screenshot_pizza_862 (3)_2048","pizza",862,"2048",1,1
"screenshot_pizza_862_256","pizza",862,"256",1,1
"screenshot_pizza_868 (1)_512","pizza",868,"512",0.99937279245283,1.00250883018868
"screenshot_pizza_868 (2)_1024","pizza",868,"1024",0.998303603773585,1.00678558490566
"screenshot_pizza_868 (3)_2048","pizza",868,"2048",0.997806471698113,1.00877411320755
"screenshot_pizza_868_256","pizza",868,"256",1,1
"screenshot_pizza_987 (1)_512","pizza",987,"512",0.993534622641509,1.02586150943396
"screenshot_pizza_987 (2)_1024","pizza",987,"1024",0.988388905660377,1.04644437735849
"screenshot_pizza_987 (3)_2048","pizza",987,"2048",0.981945301886792,1.07221879245283
"screenshot_pizza_987_256","pizza",987,"256",0.997662056603774,1.00935177358491
"screenshot_pizza_1186 (1)_512","pizza",1186,"512",0.977696264150943,1.08921494339623
"screenshot_pizza_1186 (2)_1024","pizza",1186,"1024",0.961862811320755,1.15254875471698
"screenshot_pizza_1186 (3)_2048","pizza",1186,"2048",0.948203283018868,1.20718686792453
"screenshot_pizza_1186_256","pizza",1186,"256",0.994253056603774,1.02298777358491
"screenshot_pizza_1424 (1)_512","pizza",1424,"512",0.962898018867924,1.1484079245283
"screenshot_pizza_1424 (2)_1024","pizza",1424,"1024",0.921202283018868,1.31519086792453
"screenshot_pizza_1424 (3)_2048","pizza",1424,"2048",0.893141377358491,1.42743449056604
"screenshot_pizza_1424_256","pizza",1424,"256",0.989805735849057,1.04077705660377
"screenshot_pizza_1709 (1)_512","pizza",1709,"512",0.876965283018868,1.49213886792453
"screenshot_pizza_1709 (2)_1024","pizza",1709,"1024",0.79447220754717,1.82211116981132
"screenshot_pizza_1709 (3)_2048","pizza",1709,"2048",0.753351905660377,1.98659237735849
"screenshot_pizza_1709_256","pizza",1709,"256",0.942838075471698,1.22864769811321
"screenshot_pizza_2052 (1)_512","pizza",2052,"512",0.802450132075472,1.79019947169811
"screenshot_pizza_2052 (2)_1024","pizza",2052,"1024",0.685781452830189,2.25687418867925
"screenshot_pizza_2052 (3)_2048","pizza",2052,"2048",0.632118547169811,2.47152581132075
"screenshot_pizza_2052_256","pizza",2052,"256",0.916232528301887,1.33506988679245
"screenshot_pizza_2464 (1)_512","pizza",2464,"512",0.734698358490566,2.06120656603774
"screenshot_pizza_2464 (2)_1024","pizza",2464,"1024",0.602826396226415,2.58869441509434
"screenshot_pizza_2464 (3)_2048","pizza",2464,"2048",0.55382741509434,2.78469033962264
"screenshot_pizza_2464_256","pizza",2464,"256",0.885218641509434,1.45912543396226
"screenshot_pizza_2957 (1)_512","pizza",2957,"512",0.655147377358491,2.37941049056604
"screenshot_pizza_2957 (2)_1024","pizza",2957,"1024",0.512538830188679,2.94984467924528
"screenshot_pizza_2957 (3)_2048","pizza",2957,"2048",0.460569301886792,3.15772279245283
"screenshot_pizza_2957_256","pizza",2957,"256",0.849917660377358,1.60032935849057
"screenshot_pizza_3550 (1)_512","pizza",3550,"512",0.622653245283019,2.50938701886792
"screenshot_pizza_3550 (2)_1024","pizza",3550,"1024",0.463406811320755,3.14637275471698
"screenshot_pizza_3550 (3)_2048","pizza",3550,"2048",0.411875943396226,3.35249622641509
"screenshot_pizza_3550_256","pizza",3550,"256",0.822870358490566,1.70851856603774
"screenshot_pizza_4262 (1)_512","pizza",4262,"512",0.571678094339623,2.71328762264151
"screenshot_pizza_4262 (2)_1024","pizza",4262,"1024",0.41722379245283,3.33110483018868
"screenshot_pizza_4262 (3)_2048","pizza",4262,"2048",0.366768603773585,3.53292558490566
"screenshot_pizza_4262_256","pizza",4262,"256",0.795586132075472,1.81765547169811
"screenshot_pizza_5115 (1)_512","pizza",5115,"512",0.548109735849057,2.80756105660377
"screenshot_pizza_5115 (2)_1024","pizza",5115,"1024",0.380306867924528,3.47877252830189
"screenshot_pizza_5115 (3)_2048","pizza",5115,"2048",0.328103075471698,3.68758769811321
"screenshot_pizza_5115_256","pizza",5115,"256",0.783300622641509,1.86679750943396
"screenshot_pizza_6139 (1)_512","pizza",6139,"512",0.517900245283019,2.92839901886792
"screenshot_pizza_6139 (2)_1024","pizza",6139,"1024",0.346161,3.615356
"screenshot_pizza_6139 (3)_2048","pizza",6139,"2048",0.292023698113208,3.83190520754717
"screenshot_pizza_6139_256","pizza",6139,"256",0.761076320754717,1.95569471698113
"screenshot_pizza_7368 (1)_512","pizza",7368,"512",0.477049924528302,3.09180030188679
"screenshot_pizza_7368 (2)_1024","pizza",7368,"1024",0.298724981132075,3.8051000754717
"screenshot_pizza_7368 (3)_2048","pizza",7368,"2048",0.242491396226415,4.03003441509434
"screenshot_pizza_7368_256","pizza",7368,"256",0.734996735849057,2.06001305660377
"screenshot_pizza_8842 (1)_512","pizza",8842,"512",0.452230056603774,3.19107977358491
"screenshot_pizza_8842 (2)_1024","pizza",8842,"1024",0.270543830188679,3.91782467924528
"screenshot_pizza_8842 (3)_2048","pizza",8842,"2048",0.212709056603774,4.14916377358491
"screenshot_pizza_8842_256","pizza",8842,"256",0.716697679245283,2.13320928301887
"screenshot_pizza_10611 (1)_512","pizza",10611,"512",0.432968849056604,3.26812460377359
"screenshot_pizza_10611 (2)_1024","pizza",10611,"1024",0.245000660377358,4.01999735849057
"screenshot_pizza_10611 (3)_2048","pizza",10611,"2048",0.186861830188679,4.25255267924528
"screenshot_pizza_10611_256","pizza",10611,"256",0.703697886792453,2.18520845283019
"screenshot_pizza_12734 (1)_512","pizza",12734,"512",0.407250358490566,3.37099856603774
"screenshot_pizza_12734 (2)_1024","pizza",12734,"1024",0.212165679245283,4.15133728301887
"screenshot_pizza_12734 (3)_2048","pizza",12734,"2048",0.153796924528302,4.38481230188679
"screenshot_pizza_12734_256","pizza",12734,"256",0.682281452830189,2.27087418867925
"screenshot_pizza_15283 (1)_512","pizza",15283,"512",0.382380679245283,3.47047728301887
"screenshot_pizza_15283 (2)_1024","pizza",15283,"1024",0.189882754716981,4.24046898113208
"screenshot_pizza_15283 (3)_2048","pizza",15283,"2048",0.128821849056604,4.48471260377358
"screenshot_pizza_15283_256","pizza",15283,"256",0.657074943396226,2.37170022641509
"screenshot_pizza_18341 (1)_512","pizza",18341,"512",0.376845924528302,3.49261630188679
"screenshot_pizza_18341 (2)_1024","pizza",18341,"1024",0.175869905660377,4.29652037735849
"screenshot_pizza_18341 (3)_2048","pizza",18341,"2048",0.114573641509434,4.54170543396226
"screenshot_pizza_18341_256","pizza",18341,"256",0.649862679245283,2.40054928301887
"screenshot_pizza_22011 (1)_512","pizza",22011,"512",0.365795849056604,3.53681660377358
"screenshot_pizza_22011 (2)_1024","pizza",22011,"1024",0.165123075471698,4.33950769811321
"screenshot_pizza_22011 (3)_2048","pizza",22011,"2048",0.101264245283019,4.59494301886792
"screenshot_pizza_22011_256","pizza",22011,"256",0.640777339622641,2.43689064150943
"screenshot_pizza_26414 (1)_512","pizza",26414,"512",0.359991037735849,3.5600358490566
"screenshot_pizza_26414 (2)_1024","pizza",26414,"1024",0.152907018867925,4.3883719245283
"screenshot_pizza_26414 (3)_2048","pizza",26414,"2048",0.0876481320754717,4.64940747169811
"screenshot_pizza_26414_256","pizza",26414,"256",0.638159169811321,2.44736332075472
"screenshot_pizza_31699 (1)_512","pizza",31699,"512",0.345795622641509,3.61681750943396
"screenshot_pizza_31699 (2)_1024","pizza",31699,"1024",0.143628924528302,4.42548430188679
"screenshot_pizza_31699 (3)_2048","pizza",31699,"2048",0.0748982264150943,4.70040709433962
"screenshot_pizza_31699_256","pizza",31699,"256",0.626428018867925,2.4942879245283
"screenshot_pizza_38039 (1)_512","pizza",38039,"512",0.340515358490566,3.63793856603774
"screenshot_pizza_38039 (2)_1024","pizza",38039,"1024",0.133832981132075,4.4646680754717
"screenshot_pizza_38039 (3)_2048","pizza",38039,"2048",0.0630457358490566,4.74781705660377
"screenshot_pizza_38039_256","pizza",38039,"256",0.628527037735849,2.4858918490566
"screenshot_pizza_45647 (1)_512","pizza",45647,"512",0.331333735849057,3.67466505660377
"screenshot_pizza_45647 (2)_1024","pizza",45647,"1024",0.126286037735849,4.4948558490566
"screenshot_pizza_45647 (3)_2048","pizza",45647,"2048",0.0564492641509434,4.77420294339623
"screenshot_pizza_45647_256","pizza",45647,"256",0.619819358490566,2.52072256603774
"screenshot_pizza_54777 (1)_512","pizza",54777,"512",0.326782037735849,3.6928718490566
"screenshot_pizza_54777 (2)_1024","pizza",54777,"1024",0.120273641509434,4.51890543396226
"screenshot_pizza_54777 (3)_2048","pizza",54777,"2048",0.0503583018867925,4.79856679245283
"screenshot_pizza_54777_256","pizza",54777,"256",0.616423358490566,2.53430656603774
"screenshot_pizza_65733 (1)_512","pizza",65733,"512",0.32342079245283,3.70631683018868
"screenshot_pizza_65733 (2)_1024","pizza",65733,"1024",0.115238660377358,4.53904535849057
